Ticker,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200
AMZN,2022-09-14,127.3600,128.8400,126.3300,128.5500,45316800,132.1210,128.8926,122.3661,140.5915,131.2327,129.5021,130.4083,138.2016
AMZN,2022-09-15,127.3800,130.3700,125.5000,126.2800,52887200,131.3300,129.1316,122.1854,140.3325,130.7611,129.3758,130.3266,138.0830
AMZN,2022-09-16,122.7800,123.8700,120.7000,123.5300,115667800,130.3915,129.2756,121.9600,140.0733,130.0724,129.1465,130.1920,137.9382
AMZN,2022-09-19,122.1600,124.7100,121.8000,124.6600,47279700,129.7130,129.4580,121.8126,139.8357,129.5569,128.9706,130.0825,137.8061
AMZN,2022-09-20,123.3500,124.4000,121.1400,122.1900,47698400,129.1615,129.6668,121.6529,139.5873,128.8553,128.7047,129.9262,137.6507
AMZN,2022-09-21,122.4900,123.7600,118.4500,118.5400,58498900,128.4075,129.8532,121.3923,139.3326,127.8729,128.3061,129.7007,137.4605
AMZN,2022-09-22,117.0800,118.7900,116.2600,117.3100,55229200,127.5830,129.9914,121.3226,139.0623,126.8669,127.8749,129.4553,137.2600
AMZN,2022-09-23,116.0000,116.0500,112.0600,113.7800,65126700,126.4080,130.0544,121.2154,138.7504,125.6205,127.3221,129.1449,137.0264
AMZN,2022-09-26,113.3000,117.3400,113.1300,115.1500,62723300,125.6280,130.0864,121.1244,138.4453,124.6233,126.8448,128.8678,136.8087
AMZN,2022-09-27,117.2000,118.3200,113.0500,114.4100,60094700,124.8590,130.0994,121.0092,138.1465,123.6506,126.3571,128.5815,136.5859
AMZN,2022-09-28,114.3800,118.7000,113.8000,118.0100,55763800,124.3230,130.0954,121.0252,137.8755,123.1134,126.0298,128.3722,136.4010
AMZN,2022-09-29,115.6000,116.0700,113.0600,114.8000,58969700,123.7245,129.9360,121.0255,137.6017,122.3217,125.5894,128.1034,136.1861
AMZN,2022-09-30,114.0800,116.9200,112.8400,113.0000,59479600,122.9835,129.7034,121.0676,137.3212,121.4339,125.0957,127.8043,135.9554
AMZN,2022-10-03,113.5800,116.9100,112.4500,115.8800,50941900,122.4020,129.5726,121.1378,137.0340,120.9050,124.7343,127.5682,135.7556
AMZN,2022-10-04,119.8900,123.0000,119.7900,121.0900,62812600,122.1510,129.5716,121.2950,136.7951,120.9226,124.5914,127.4399,135.6097
AMZN,2022-10-05,118.5800,121.7500,117.6900,120.9500,48217500,121.7245,129.6944,121.4352,136.5498,120.9252,124.4486,127.3114,135.4638
AMZN,2022-10-06,120.7700,121.5300,119.5000,120.3000,42253800,121.2485,129.6810,121.5076,136.3159,120.8657,124.2859,127.1726,135.3129
AMZN,2022-10-07,118.0000,118.1700,113.8800,114.5600,54678000,120.3130,129.5266,121.5451,136.0366,120.2651,123.9045,126.9228,135.1065
AMZN,2022-10-10,115.1000,116.2500,112.4300,113.6700,42339700,119.1740,129.1010,121.5281,135.7498,119.6370,123.5031,126.6604,134.8932
AMZN,2022-10-11,112.7100,115.4800,110.3900,112.2100,56432200,118.4435,128.6374,121.5791,135.4555,118.9297,123.0603,126.3743,134.6675
AMZN,2022-10-12,112.4900,113.8300,111.4000,112.9000,45728700,117.6610,128.2122,121.6349,135.1716,118.3554,122.6618,126.1074,134.4509
AMZN,2022-10-13,107.8800,113.4400,105.3500,112.5300,86868100,116.9735,127.6724,121.6843,134.8810,117.8006,122.2645,125.8386,134.2327
AMZN,2022-10-14,114.1000,114.9600,106.6000,106.9000,67737300,116.1420,126.9590,121.6777,134.5695,116.7625,121.6620,125.4636,133.9608
AMZN,2022-10-17,110.1100,114.1900,110.0900,113.7900,62782000,115.5985,126.4188,121.7746,134.2952,116.4794,121.3533,125.2324,133.7601
AMZN,2022-10-18,119.0600,119.5200,114.7900,116.3600,65607400,115.3070,125.9578,121.8705,134.0434,116.4680,121.1575,125.0567,133.5869
AMZN,2022-10-19,114.7100,116.5900,113.2200,115.0700,47198100,115.1335,125.5026,121.9104,133.7667,116.3349,120.9187,124.8589,133.4027
AMZN,2022-10-20,113.8300,118.2400,113.5100,115.2500,48795100,115.0305,124.9538,121.9114,133.5054,116.2315,120.6964,124.6687,133.2221
AMZN,2022-10-21,114.7900,119.5900,114.5000,119.3200,55660500,115.3075,124.5274,121.9026,133.2802,116.5257,120.6425,124.5628,133.0837
AMZN,2022-10-24,119.9800,120.3900,116.5700,119.8200,49531500,115.5410,124.0528,121.8839,133.0630,116.8394,120.6102,124.4688,132.9518
AMZN,2022-10-25,119.6500,121.3200,118.9500,120.6000,50934600,115.8505,123.6012,121.8348,132.8533,117.1976,120.6098,124.3922,132.8289
AMZN,2022-10-26,116.0000,119.3500,114.7600,115.6600,68802300,115.7330,123.0188,121.7679,132.6241,117.0511,120.4157,124.2193,132.6580
AMZN,2022-10-27,113.9200,114.1200,109.7700,110.9600,129605400,115.5410,122.3960,121.6296,132.3521,116.4710,120.0449,123.9568,132.4421
AMZN,2022-10-28,97.9100,103.9600,97.6600,103.4100,223133400,115.0615,121.6182,121.4337,132.0431,115.2271,119.3925,123.5499,132.1532
AMZN,2022-10-31,103.5600,104.8700,100.7400,102.4400,99251400,114.3895,120.9024,121.2463,131.7493,114.0093,118.7277,123.1319,131.8576
AMZN,2022-11-01,103.9900,104.5800,96.0600,96.7900,153370000,113.1745,120.1738,121.0527,131.4225,112.3694,117.8674,122.6102,131.5087
AMZN,2022-11-02,97.3200,97.7400,92.0100,92.1200,135761800,111.7330,119.3438,120.8774,131.0885,110.4409,116.8577,122.0065,131.1167
AMZN,2022-11-03,92.4700,93.5000,89.0200,89.3000,136683300,110.1830,118.4538,120.7337,130.7535,108.4274,115.7770,121.3588,130.7006
AMZN,2022-11-04,91.4900,92.4400,88.0400,90.9800,129101300,109.0040,117.5278,120.6204,130.4501,106.7658,114.8046,120.7573,130.3054
AMZN,2022-11-07,91.9500,92.1000,89.0400,90.5300,77495700,107.8470,116.7234,120.4490,130.1895,105.2195,113.8526,120.1587,129.9096
AMZN,2022-11-08,90.7900,91.7200,88.2300,89.9800,88703400,106.7355,115.9272,120.3122,129.9167,103.7681,112.9165,119.5611,129.5123
AMZN,2022-11-09,89.4700,89.4800,85.8700,86.1400,90796200,105.3975,115.0754,120.1114,129.6475,102.0893,111.8664,118.8993,129.0808
AMZN,2022-11-10,92.9400,98.6900,91.6500,96.6300,173414900,104.6025,114.4726,119.9909,129.4363,101.5693,111.2689,118.4583,128.7579
AMZN,2022-11-11,97.8800,101.1900,96.6600,100.7900,111590500,104.2970,113.9320,119.9093,129.2420,101.4951,110.8580,118.1085,128.4796
AMZN,2022-11-14,98.7700,100.1200,97.2900,98.4900,99533100,103.5320,113.3516,119.7698,129.0146,101.2089,110.3729,117.7200,128.1812
AMZN,2022-11-15,103.2100,103.7900,97.3400,98.9400,111336300,102.6610,112.8082,119.5946,128.7614,100.9928,109.9246,117.3481,127.8902
AMZN,2022-11-16,96.8500,98.4900,95.5400,97.1200,87958800,101.7635,112.1610,119.4336,128.4911,100.6240,109.4225,116.9475,127.5840
AMZN,2022-11-17,95.3700,96.9700,94.0300,94.8500,82617900,100.7435,111.4616,119.3081,128.2123,100.0741,108.8510,116.5100,127.2583
AMZN,2022-11-18,95.9500,95.9900,92.4800,94.1400,72428200,99.4845,110.6790,119.1603,127.9887,99.5089,108.2741,116.0670,126.9288
AMZN,2022-11-21,93.9700,95.0200,90.5900,92.4600,84330300,98.1165,109.7992,119.0228,127.6628,98.8376,107.6539,115.5995,126.5858
AMZN,2022-11-22,92.6200,93.3500,90.8700,93.2000,62192000,96.7465,109.1268,118.8592,127.3392,98.3007,107.0871,115.1560,126.2536
AMZN,2022-11-23,93.2400,94.5800,92.8300,94.1300,59414700,95.6700,108.4384,118.6655,127.0027,97.9035,106.5790,114.7396,125.9340
AMZN,2022-11-25,93.7900,94.4300,93.0700,93.4100,35088600,94.7925,107.7810,118.4563,126.6638,97.4755,106.0626,114.3172,125.6104
AMZN,2022-11-28,93.9300,96.4000,93.4300,93.9500,74943100,94.3195,107.1894,118.2325,126.3386,97.1398,105.5875,113.9139,125.2953
AMZN,2022-11-29,94.0400,94.4100,91.4400,92.4200,65567300,93.8185,106.5446,118.0013,126.0342,96.6903,105.0712,113.4883,124.9682
AMZN,2022-11-30,92.4700,96.5400,91.5300,96.5400,102805800,93.8060,106.0316,117.8492,125.7411,96.6760,104.7366,113.1527,124.6854
AMZN,2022-12-01,96.9900,97.2300,94.9200,95.5000,68488000,93.9750,105.5708,117.7120,125.4360,96.5640,104.3744,112.8031,124.3950
AMZN,2022-12-02,94.4800,95.3600,93.7800,94.1300,72496400,94.2165,105.1072,117.5493,125.1162,96.3322,103.9727,112.4334,124.0938
AMZN,2022-12-05,93.0500,94.0600,90.8200,91.0100,71535500,94.2180,104.6518,117.3531,124.7979,95.8253,103.4643,112.0092,123.7646
AMZN,2022-12-06,90.5000,91.0400,87.9000,88.2500,75503600,94.1040,104.1138,117.1001,124.4762,95.1038,102.8677,111.5387,123.4112
AMZN,2022-12-07,88.3400,89.8900,87.4800,88.4600,68086900,94.0280,103.5948,116.8471,124.1675,94.4711,102.3027,111.0817,123.0635
AMZN,2022-12-08,89.2400,90.8600,87.8800,90.3500,73305900,94.2385,103.0416,116.5685,123.8951,94.0786,101.8339,110.6711,122.7380
AMZN,2022-12-09,88.9000,90.3000,88.6300,89.0900,67398500,93.8615,102.5274,116.2317,123.5838,93.6035,101.3342,110.2438,122.4032
AMZN,2022-12-12,89.2100,90.5800,87.8700,90.5500,61999800,93.3495,102.0784,115.8909,123.2676,93.3127,100.9113,109.8538,122.0862
AMZN,2022-12-13,95.2300,96.2500,90.5200,92.4900,100212000,93.0495,101.6106,115.5916,122.9622,93.2343,100.5810,109.5100,121.7917
AMZN,2022-12-14,92.5000,93.4600,89.8700,91.5800,70298000,92.6815,101.0204,115.2960,122.6644,93.0768,100.2280,109.1549,121.4911
AMZN,2022-12-15,89.8900,89.9700,87.4700,88.4500,84802900,92.2480,100.3704,115.0324,122.3464,92.6361,99.7662,108.7449,121.1623
AMZN,2022-12-16,88.2700,89.3500,86.7300,87.8600,146144100,91.8985,99.7216,114.7013,122.0462,92.1813,99.2992,108.3314,120.8310
AMZN,2022-12-19,87.5100,87.6300,84.5100,84.9200,83531500,91.4375,99.1288,114.3277,121.7426,91.4897,98.7354,107.8678,120.4736
AMZN,2022-12-20,85.3300,86.6100,84.3300,85.1900,74348300,91.0740,98.5592,113.8301,121.4813,90.8897,98.2042,107.4187,120.1226
AMZN,2022-12-21,86.1800,87.2300,85.2100,86.7700,59267200,90.7525,98.0504,113.3439,121.2351,90.4974,97.7558,107.0098,119.7907
AMZN,2022-12-22,85.5200,85.6800,82.2500,83.7900,81431300,90.2355,97.4682,112.8402,120.9576,89.8586,97.2081,106.5500,119.4325
AMZN,2022-12-23,83.2500,85.7800,82.9300,85.2500,57433700,89.8275,96.9226,112.2975,120.6498,89.4197,96.7391,106.1282,119.0924
AMZN,2022-12-27,84.9700,85.3500,83.0000,83.0400,57284000,89.2820,96.4454,111.7022,120.3374,88.8121,96.2019,105.6711,118.7336
AMZN,2022-12-28,82.8000,83.4800,81.6900,81.8200,58228600,88.7520,95.8060,111.1124,120.0372,88.1462,95.6379,105.1988,118.3663
AMZN,2022-12-29,82.8700,84.5500,82.5500,84.1800,54995900,88.1340,95.1624,110.5601,119.7213,87.7684,95.1886,104.7825,118.0262
AMZN,2022-12-30,83.1200,84.0500,82.4700,84.0000,62401200,87.5590,94.5410,110.0218,119.3757,87.4095,94.7498,104.3710,117.6876
